driverId,week,hours-logged,miles-logged
816,32,73,800
129,5,52,400
432,25,57,500
549,36,61,3300
924,38,62,3100
509,25,75,2400
600,49,58,1500
156,2,72,3600
212,34,65,1300
516,50,65,700
703,29,80,2800
814,19,52,3000
772,2,61,3400
76,49,72,400
787,24,68,2500
915,12,77,3700
166,1,58,4000
494,21,69,3400
180,13,78,3100
351,25,80,2200
321,24,71,1300
555,46,79,1900
628,41,77,2200
850,8,63,2100
287,49,70,100
933,1,63,200
494,15,72,2100
460,52,73,600
244,8,62,300
493,32,52,700
255,39,67,600
533,8,59,3500
309,10,67,900
875,12,66,2200
434,38,66,1500
161,27,54,1900
451,38,60,3800
940,36,63,3700
359,25,70,800
308,19,73,2300
409,11,61,3700
13,21,58,4000
243,15,65,3700
200,35,78,2300
531,49,80,1400
448,17,70,3400
683,32,69,2800
608,12,53,3700
617,1,55,900
360,42,51,200
517,34,70,600
770,52,74,2100
845,1,79,2300
843,46,51,4000
642,1,67,100
899,33,61,1700
458,15,71,3400
68,20,52,3800
152,33,70,3800
718,41,53,200
290,18,68,1800
515,19,66,1700
309,43,61,900
917,6,63,3400
266,30,62,2400
104,44,56,3000
611,34,57,1600
618,49,61,600
676,4,78,600
784,35,78,2000
303,2,55,2200
198,28,78,2900
131,37,64,700
781,1,60,2300
317,32,58,2800
510,11,79,1900
475,26,59,1300
542,43,55,2900
363,43,53,1600
512,17,62,600
625,10,58,1100
193,28,57,2400
28,13,67,3400
574,35,80,3300
712,21,73,3000
994,40,79,0
124,27,69,2600
344,11,79,3500
587,48,55,3700
890,44,80,100
385,25,77,2300
199,51,64,3200
730,8,78,0
680,29,51,2400
812,45,60,2700
793,50,79,3300
725,14,74,4000
449,8,52,2300
878,51,50,3300
985,3,69,2200
10,13,69,2800
788,42,61,2300
613,8,78,400
71,51,66,3700
219,32,78,3900
31,26,53,600
996,41,69,700
925,21,75,4000
778,4,60,3100
340,45,77,2200
216,40,76,100
759,9,50,2600
803,2,72,3700
447,34,52,2300
987,45,51,2400
531,50,80,1900
597,5,65,1500
225,33,56,3100
523,9,54,2300
408,25,77,700
743,7,73,2800
659,15,72,3500
733,5,66,200
585,42,70,300
530,48,75,3700
122,9,53,2800
836,27,65,1200
195,28,54,2900
264,46,73,1200
960,1,60,2400
75,39,75,700
432,41,56,900
804,37,66,2500
74,2,55,3100
320,46,75,2800
653,35,78,1500
762,52,70,2400
630,29,50,2700
26,29,51,3700
252,51,64,0
457,27,75,0
320,29,78,3700
909,29,71,300
304,39,77,2700
621,42,71,0
689,33,78,4000
461,5,74,1000
345,26,66,100
584,15,65,2200
843,50,50,1800
770,46,64,1500
594,13,78,2900
393,29,55,2100
377,23,69,900
950,18,68,3600
502,48,63,1400
788,28,75,3100
959,44,58,2700
332,6,61,2900
667,21,64,2700
311,33,62,2400
385,14,71,1000
710,23,70,1300
624,39,70,1100
510,14,80,100
928,41,64,1700
393,17,62,800
14,28,50,3700
777,41,66,2900
844,48,62,1000
191,35,73,1400
849,44,50,3200
627,16,59,3800
322,15,57,2100
851,52,62,4000
62,34,68,700
79,35,59,100
647,36,58,3900
956,3,55,700
424,4,65,1400
616,26,51,3300
297,14,61,3600
150,21,53,1600
517,50,74,2200
18,26,57,2300
765,52,61,4000
237,27,53,1200
744,24,79,500
267,49,70,2600
791,23,65,2600
141,46,50,1000
369,7,65,2700
149,34,52,3000
462,10,60,3900
997,35,66,900
69,48,73,3600
563,44,70,2400
337,41,80,2100
821,8,65,3100
924,10,50,1000
211,1,72,2900
87,48,58,1300
308,44,70,3600
430,50,64,2900
723,16,73,500
472,19,74,2900
41,45,60,100
785,35,51,700
115,5,70,1000
818,4,56,4000
236,39,52,1200
446,3,79,300
311,38,64,2300
430,43,55,1100
725,43,57,3100
150,43,76,2400
421,28,63,1200
783,29,77,1000
718,29,80,600
104,33,55,1100
762,30,60,1200
486,14,74,1100
507,49,54,4000
693,8,60,300
759,23,75,2400
429,27,59,3500
448,21,71,3100
71,22,73,2700
349,41,69,600
921,3,79,700
20,39,58,1300
860,44,55,2700
297,40,80,1900
931,49,54,4000
128,18,64,1900
378,15,62,1100
616,31,79,3900
404,50,54,3900
980,39,73,1300
268,50,74,1600
948,21,51,400
257,11,65,1200
668,49,80,300
638,18,51,1800
986,18,50,3200
485,18,51,3400
910,52,74,200
386,11,54,2000
25,14,58,1500
281,23,76,1300
267,2,79,1600
727,26,73,3300
409,37,61,3600
811,18,51,500
797,47,66,3100
324,19,67,3500
137,11,63,100
296,49,74,1900
111,20,75,3100
630,4,69,3700
247,19,61,3800
458,2,76,1600
152,30,63,1400
461,25,70,3800
99,10,78,3800
332,21,70,800
618,22,61,1700
283,8,56,2700
913,30,80,3000
673,51,61,3300
915,48,57,2800
603,7,77,3200
886,19,78,500
554,42,62,600
708,13,52,2600
850,19,80,400
799,32,76,400
97,4,55,400
281,11,50,3000
926,38,58,2500
489,23,77,1400
373,39,66,1700
227,15,54,300
992,33,54,700
108,40,65,3400
870,30,58,3400
494,34,53,1700
758,16,76,400
532,38,55,3600
206,3,53,500
494,21,65,1900
159,48,63,3400
545,41,52,1500
584,8,73,3700
431,9,69,100
512,38,58,200
198,43,77,3900
244,44,64,3600
210,28,55,2800
789,5,51,700
557,48,64,900
808,10,65,3300
346,51,76,4000
235,14,70,4000
349,42,59,2600
689,33,65,800
545,17,52,1100
190,38,51,2200
267,52,69,1900
233,49,54,2300
485,23,74,200
549,35,72,3700
75,52,79,3400
163,2,73,800
148,9,71,3200
435,30,70,3700
289,7,78,3300
941,48,56,3500
476,8,79,1400
392,16,59,2200
330,46,54,900
512,41,77,3000
462,27,53,2500
254,10,58,700
111,32,53,800
418,7,66,3300
234,50,57,1100
300,15,53,1400
184,17,52,1200
1008,44,67,2300
860,37,75,3800
36,5,67,1300
485,2,69,2100
203,12,61,1400
652,44,75,1600
449,39,75,1600
353,2,67,2100
721,52,66,3900
784,11,69,2500
124,15,50,1200
290,10,72,200
797,37,56,3400
824,17,50,3500
52,17,73,3500
592,39,72,2800
343,20,70,3200
406,4,61,2200
899,17,59,3300
923,9,80,2900
867,13,55,1800
15,26,78,700
130,13,61,1900
853,40,79,400
231,15,51,1600
160,49,70,1700
578,13,80,400
768,20,56,1100
52,17,56,3900
551,30,59,3100
648,11,69,3700
686,18,65,1100
617,23,55,2500
276,38,72,3700
61,49,58,400
498,26,63,3000
43,35,78,2000
286,10,56,0
878,27,55,300
806,22,53,800
692,30,59,100
589,8,58,100
910,32,63,3200
1009,16,66,1800
168,36,75,2400
506,20,54,3300
532,8,68,1200
414,51,80,3300
380,37,78,1300
963,22,62,3200
588,14,53,1800
814,15,50,3600
836,34,70,3900
630,33,55,3200
568,35,67,3400
198,45,74,1900
669,19,58,3500
945,47,64,500
750,30,51,2800
769,9,52,3100
248,39,64,1300
529,17,61,1200
928,23,72,2700
81,10,67,3100
412,6,78,3000
62,47,80,500
780,36,69,1400
660,26,55,3300
78,10,76,300
743,30,55,300
12,1,68,3900
667,30,55,1400
334,23,52,3300
586,17,61,1800
284,44,57,600
182,21,71,3200
873,45,57,1100
125,31,73,400
265,41,52,2800
950,22,74,3000
188,2,62,1700
43,19,74,1300
957,1,54,1400
749,5,52,3900
327,13,62,1100
165,25,76,3000
69,46,54,1200
508,17,73,2600
757,31,56,800
826,44,63,900
618,39,58,1900
64,38,57,1800
37,1,50,3400
891,12,59,2700
110,42,58,3900
223,11,68,800
217,16,72,3300
99,35,77,1500
820,43,70,2500
492,48,79,100
237,25,77,2300
815,1,63,2900
632,5,73,2700
428,20,52,0
979,45,60,3800
901,11,70,3700
21,45,64,3000
265,49,74,1000
81,35,63,2100
589,14,64,1600
692,47,61,2200
503,13,77,3700
611,30,63,2200
570,12,52,2800
829,10,53,2100
264,23,80,200
841,28,62,3700
328,44,59,2200
613,39,54,2800
363,21,70,2700
448,41,54,2400
695,52,50,1300
775,14,70,1800
180,8,73,700
60,16,73,1600
372,2,80,1200
942,42,70,400
586,25,50,1100
190,39,61,3800
783,20,63,3100
622,49,70,2800
929,32,79,3500
714,42,60,2800
974,42,52,4000
765,20,73,3800
33,22,68,300
572,44,70,2600
467,34,80,1200
507,28,54,2300
710,49,79,1300
324,18,55,700
341,33,58,2300
314,16,60,2200
836,38,55,1800
802,20,79,4000
401,28,76,2500
404,16,54,1500
52,16,79,800
208,24,76,2300
854,25,52,2600
246,49,64,4000
1008,20,63,800
583,21,66,3300
148,40,62,2000
409,28,65,1900
286,21,69,1700
115,40,58,1500
719,5,71,3500
760,46,72,800
255,27,69,2200
950,13,52,1800
833,46,79,600
34,47,54,200
39,10,69,2100
850,23,65,3600
867,40,69,1300
702,38,66,1700
108,16,69,2000
388,33,72,3100
753,34,80,100
819,48,56,1400
554,18,77,500
444,11,60,1800
699,10,55,1100
133,47,64,1200
429,40,74,900
849,33,51,2400
295,29,76,1200
932,30,57,300
26,2,63,4000
507,37,78,2000
359,2,53,1500
998,32,79,2300
170,36,71,1700
460,22,51,3600
359,20,73,3900
915,29,55,2400
691,35,70,700
393,36,60,2300
621,14,61,3300
273,42,78,1000
213,34,66,0
546,28,55,400
162,17,58,3500
255,3,57,3000
875,10,52,1000
657,21,55,2500
178,19,52,1700
734,29,67,800
624,22,67,700
937,26,70,100
176,35,75,2900
481,33,74,3300
